Date,Sales
2021-01-01,80
2021-01-02,70
2021-01-03,81
2021-01-04,94
2021-01-05,67
2021-01-06,66
2021-01-07,92
2021-01-08,80
2021-01-09,61
2021-01-10,75
2021-01-11,59
2021-01-12,59
2021-01-13,69
2021-01-14,36
2021-01-15,38
2021-01-16,55
2021-01-17,48
2021-01-18,67
2021-01-19,48
2021-01-20,40
2021-01-21,83
2021-01-22,57
2021-01-23,61
2021-01-24,38
2021-01-25,51
2021-01-26,61
2021-01-27,41
2021-01-28,64
2021-01-29,49
2021-01-30,53
2021-01-31,48
2021-02-01,85
2021-02-02,56
2021-02-03,40
2021-02-04,68
2021-02-05,37
2021-02-06,58
2021-02-07,26
2021-02-08,35
2021-02-09,57
2021-02-10,65
2021-02-11,57
2021-02-12,52
2021-02-13,49
2021-02-14,31
2021-02-15,43
2021-02-16,46
2021-02-17,69
2021-02-18,58
2021-02-19,27
2021-02-20,58
2021-02-21,47
2021-02-22,43
2021-02-23,62
2021-02-24,68
2021-02-25,67
2021-02-26,40
2021-02-27,48
2021-02-28,58
2021-03-01,68
2021-03-02,46
2021-03-03,50
2021-03-04,37
2021-03-05,35
2021-03-06,66
2021-03-07,74
2021-03-08,53
2021-03-09,69
2021-03-10,60
2021-03-11,45
2021-03-12,60
2021-03-13,78
2021-03-14,55
2021-03-15,79
2021-03-16,16
2021-03-17,68
2021-03-18,58
2021-03-19,52
2021-03-20,58
2021-03-21,27
2021-03-22,54
2021-03-23,63
2021-03-24,81
2021-03-25,51
2021-03-26,47
2021-03-27,52
2021-03-28,74
2021-03-29,66
2021-03-30,53
2021-03-31,69
2021-04-01,63
2021-04-02,77
2021-04-03,53
2021-04-04,59
2021-04-05,58
2021-04-06,43
2021-04-07,70
2021-04-08,70
2021-04-09,67
2021-04-10,64
2021-04-11,46
2021-04-12,62
2021-04-13,64
2021-04-14,58
2021-04-15,68
2021-04-16,77
2021-04-17,100
2021-04-18,75
2021-04-19,77
2021-04-20,73
2021-04-21,46
2021-04-22,75
2021-04-23,77
2021-04-24,114
